0	0	105000	70000	70000	35000	70000
0.05	-3500	105000	73500	70000	35000	70000
0.1	-7000	105000	77000	70000	35000	70000
0.15	5250	105000	64750	70000	35000	70000
0.2	7000	105000	63000	70000	35000	70000
0.25	8750	105000	61250	70000	35000	70000
0.3	10500	105000	59500	70000	35000	70000
0.35	12250	105000	57750	70000	35000	70000
0.4	14000	105000	56000	70000	35000	70000
0.45	15750	105000	54250	70000	35000	70000
0.5	17500	105000	52500	70000	35000	70000
0.55	19250	105000	50750	70000	35000	70000
0.6	21000	105000	49000	70000	35000	70000
0.65	22750	105000	47250	70000	35000	70000
0.7	24500	105000	45500	70000	35000	70000
0.75	26250	105000	43750	70000	35000	70000
0.8	28000	105000	42000	70000	35000	70000
0.85	29750	105000	40250	70000	35000	70000
0.9	10500.0000000001	105000	59499.9999999999	70000	35000	70000
0.95	22750.0000000001	105000	47249.9999999999	70000	35000	70000
1	35000.0000000001	105000	34999.9999999999	70000	35000	70000
