0	0	30000	30000	0	30000
0	0.05	30000	30000	0	30000
0	0.1	30000	30000	0	30000
0	0.15	30000	30000	0	30000
0	0.2	30000	30000	0	30000
0	0.25	30000	30000	0	30000
0	0.3	30000	30000	0	30000
0	0.35	30000	30000	0	30000
0	0.4	30000	30000	0	30000
0	0.45	30000	30000	0	30000
0	0.5	30000	30000	0	30000
0	0.55	30000	30000	0	30000
0	0.6	30000	30000	0	30000
0	0.65	30000	30000	0	30000
0	0.7	30000	30000	0	30000
0	0.75	30000	30000	0	30000
0	0.8	30000	30000	0	30000
0	0.85	30000	30000	0	30000
0	0.9	30000	30000	0	30000
0	0.95	30000	30000	0	30000
0	1	30000	30000	0	30000
0.05	0	28500	28500	0	30000
0.05	0.05	28800	28500	300	30000
0.05	0.1	29100	28500	600	30000
0.05	0.15	29400	28500	900	30000
0.05	0.2	29700	28500	1200	30000
0.05	0.25	30000	28500	1500	30000
0.05	0.3	30300	28500	1800	30000
0.05	0.35	30600	28500	2100	30000
0.05	0.4	30900	28500	2400	30000
0.05	0.45	31200	28500	2700	30000
0.05	0.5	31500	28500	3000	30000
0.05	0.55	31800	28500	3300	30000
0.05	0.6	32100	28500	3600	30000
0.05	0.65	32400	28500	3900	30000
0.05	0.7	32700	28500	4200	30000
0.05	0.75	33000	28500	4500	30000
0.05	0.8	33300	28500	4800	30000
0.05	0.85	33600	28500	5100	30000
0.05	0.9	33900	28500	5400	30000
0.05	0.95	34200	28500	5700	30000
0.05	1	34500	28500	6000	30000
0.1	0	27000	27000	0	30000
0.1	0.05	27600	27000	600	30000
0.1	0.1	28200	27000	1200	30000
0.1	0.15	28800	27000	1800	30000
0.1	0.2	29400	27000	2400	30000
0.1	0.25	30000	27000	3000	30000
0.1	0.3	30600	27000	3600	30000
0.1	0.35	31200	27000	4200	30000
0.1	0.4	31800	27000	4800	30000
0.1	0.45	32400	27000	5400	30000
0.1	0.5	33000	27000	6000	30000
0.1	0.55	33600	27000	6600	30000
0.1	0.6	34200	27000	7200	30000
0.1	0.65	34800	27000	7800	30000
0.1	0.7	35400	27000	8400	30000
0.1	0.75	36000	27000	9000	30000
0.1	0.8	36600	27000	9600	30000
0.1	0.85	37200	27000	10200	30000
0.1	0.9	37800	27000	10800	30000
0.1	0.95	38400	27000	11400	30000
0.1	1	39000	27000	12000	30000
0.15	0	25500	25500	0	30000
0.15	0.05	26400	25500	900	30000
0.15	0.1	27300	25500	1800	30000
0.15	0.15	28200	25500	2700	30000
0.15	0.2	29100	25500	3600	30000
0.15	0.25	30000	25500	4500	30000
0.15	0.3	30900	25500	5400	30000
0.15	0.35	31800	25500	6300	30000
0.15	0.4	32700	25500	7200	30000
0.15	0.45	33600	25500	8100	30000
0.15	0.5	34500	25500	9000	30000
0.15	0.55	35400	25500	9900	30000
0.15	0.6	36300	25500	10800	30000
0.15	0.65	37200	25500	11700	30000
