0	0	60000	40000	40000	20000	40000
0.05	-2000	60000	42000	40000	20000	40000
0.1	-4000	60000	44000	40000	20000	40000
0.15	-6000	60000	46000	40000	20000	40000
0.2	-8000	60000	48000	40000	20000	40000
0.25	-10000	60000	50000	40000	20000	40000
0.3	6000	60000	34000	40000	20000	40000
0.35	7000	60000	33000	40000	20000	40000
0.4	8000	60000	32000	40000	20000	40000
0.45	9000	60000	31000	40000	20000	40000
0.5	10000	60000	30000	40000	20000	40000
0.55	11000	60000	29000	40000	20000	40000
0.6	12000	60000	28000	40000	20000	40000
0.65	13000	60000	27000	40000	20000	40000
0.7	14000	60000	26000	40000	20000	40000
0.75	-15000	60000	55000	40000	20000	40000
0.8	-7999.99999999998	60000	48000	40000	20000	40000
0.85	-999.999999999971	60000	41000	40000	20000	40000
0.9	6000.00000000004	60000	34000	40000	20000	40000
0.95	13000	60000	27000	40000	20000	40000
1	20000.0000000001	60000	19999.9999999999	40000	20000	40000
