0	0	135000	90000	90000	45000	90000
0.05	-4500	135000	94500	90000	45000	90000
0.1	-9000	135000	99000	90000	45000	90000
0.15	6750	135000	83250	90000	45000	90000
0.2	9000	135000	81000	90000	45000	90000
0.25	11250	135000	78750	90000	45000	90000
0.3	13500	135000	76500	90000	45000	90000
0.35	15750	135000	74250	90000	45000	90000
0.4	18000	135000	72000	90000	45000	90000
0.45	20250	135000	69750	90000	45000	90000
0.5	22500	135000	67500	90000	45000	90000
0.55	24750	135000	65250	90000	45000	90000
0.6	27000	135000	63000	90000	45000	90000
0.65	29250	135000	60750	90000	45000	90000
0.7	31500	135000	58500	90000	45000	90000
0.75	33750	135000	56250	90000	45000	90000
0.8	36000	135000	54000	90000	45000	90000
0.85	38250	135000	51750	90000	45000	90000
0.9	13500.0000000001	135000	76499.9999999999	90000	45000	90000
0.95	29250.0000000001	135000	60749.9999999999	90000	45000	90000
1	45000.0000000001	135000	44999.9999999999	90000	45000	90000
